,language,variant,surp_diff_squaredmean,surp_diff_squaredsem,surp_diff_squaredstd
91,id,Random-3,22.658684,0.23759861,44.131343842159886
92,id,Random-4,23.303442,0.2381404,44.23197394844181
93,id,Random-5,22.529552,0.2327513,43.23100578505054
94,id,Real,22.268837,0.23726194,44.06817420190062
95,id,Reverse,23.743202,0.25052327,46.531953284959606
96,id,Sort-Freq,20.39893,0.2686858,49.90472427398726
97,id,Sort-Freq-Rev,21.450836,0.24175857,44.90271177858765
98,ru,Approx,26.021227,0.16488412,34.611137168361175
99,ru,Efficient-OV,26.34742,0.17076023,35.84460096780031
100,ru,Efficient-VO,26.250992,0.16938595,35.55612531010548
101,ru,Min-DL-Opt,25.362486,0.1640704,34.44032899949783
102,ru,Min-DL-Loc,26.855616,0.16048488,33.68768250648649
103,ru,Random-1,28.702765,0.16504148,34.64416855201188
104,ru,Random-2,28.766048,0.16916464,35.50967023170929
105,ru,Random-3,26.907957,0.17488159,36.70972569981295
106,ru,Random-4,28.737488,0.16475724,34.58450307891708
107,ru,Random-5,26.339602,0.17059775,35.81049460375839
108,ru,Real,25.415813,0.16227803,34.0640884370058
109,ru,Reverse,27.302324,0.16946314,35.57232597754318
110,ru,Sort-Freq,24.529001,0.17723964,37.204705136783474
111,ru,Sort-Freq-Rev,26.655098,0.15578681,32.70150310717087
112,tr,Approx,26.23773,0.14291914,31.8946742532112
113,tr,Efficient-OV,26.10198,0.13718936,30.61597977210687
114,tr,Efficient-VO,25.361645,0.14168881,31.61978652878177
115,tr,Min-DL-Opt,26.22891,0.13920574,31.06628054308808
116,tr,Min-DL-Loc,25.550362,0.13866338,30.944935059889804
117,tr,Random-1,26.45398,0.14559522,32.49220906501885
118,tr,Random-2,26.363132,0.14453462,32.25260098447279
119,tr,Random-3,26.187225,0.14638107,32.66463086990143
120,tr,Random-4,26.118895,0.14329329,31.97784748971453
121,tr,Random-5,25.66631,0.14043814,31.338793361782077
122,tr,Real,25.867834,0.14586344,32.549455056973514
123,tr,Reverse,25.06017,0.15431997,34.436871068101965
124,tr,Sort-Freq,23.270866,0.14837365,33.107947060427406
125,tr,Sort-Freq-Rev,24.596655,0.13234885,29.53189155838888
126,vi,Approx,19.55979,0.2750336,38.95974943573418
127,vi,Efficient-OV,20.317438,0.2844781,40.29559728541347
128,vi,Efficient-VO,19.700592,0.27936134,39.573779555730844
129,vi,Min-DL-Opt,18.959982,0.26790106,37.94750127613088
130,vi,Min-DL-Loc,19.820835,0.28189367,39.93250289138753
131,vi,Random-1,19.680042,0.2770245,39.23883683979387
132,vi,Random-2,19.435583,0.27742368,39.29439665906951
133,vi,Random-3,19.619207,0.28146708,39.87008789226667
134,vi,Random-4,19.768,0.28862843,40.88551688663308
135,vi,Random-5,18.773907,0.26920325,38.13290620125981
136,vi,Real,19.400005,0.29440677,41.69677283038465
137,vi,Reverse,20.274265,0.30843398,43.688890544508965
138,vi,Sort-Freq,16.9409,0.29959843,42.43734820135913
139,vi,Sort-Freq-Rev,17.13263,0.2772434,39.26592823335477
