,language,variant,surprisalmean,surprisalsem,surprisalstd
91,id,Random-3,15.218373,0.04121538,7.655305870161606
92,id,Random-4,15.271373,0.04087567,7.592208124191325
93,id,Random-5,15.173764,0.041459005,7.700556722198476
94,id,Real,14.665449,0.04160709,7.727950345332476
95,id,Reverse,15.053339,0.041573,7.721730012448488
96,id,Sort-Freq,14.152943,0.04059171,7.539356478725727
97,id,Sort-Freq-Rev,14.529618,0.038730185,7.193499502271314
98,ru,Approx,14.59886,0.03625845,7.611079781303925
99,ru,Efficient-OV,14.6741085,0.036529366,7.667948673974146
100,ru,Efficient-VO,14.655737,0.036745317,7.713278833985414
101,ru,Min-DL-Opt,14.491539,0.03664691,7.692622374530813
102,ru,Min-DL-Loc,15.012179,0.035806693,7.516251254182231
103,ru,Random-1,15.345049,0.03573628,7.501471139059501
104,ru,Random-2,15.279536,0.03636638,7.633736031917184
105,ru,Random-3,15.012932,0.0370367,7.774443023453041
106,ru,Random-4,15.312895,0.03629289,7.618308708798106
107,ru,Random-5,14.889115,0.03698797,7.764214710235886
108,ru,Real,14.2556505,0.03625035,7.609379196626368
109,ru,Reverse,14.800395,0.036788683,7.72238129541111
110,ru,Sort-Freq,14.301459,0.035276763,7.405011810080605
111,ru,Sort-Freq-Rev,14.876278,0.03326925,6.9836109936781305
112,tr,Approx,13.932657,0.035766102,7.981772410108386
113,tr,Efficient-OV,14.167117,0.03527651,7.872512310316166
114,tr,Efficient-VO,13.990309,0.03569376,7.965548119505079
115,tr,Min-DL-Opt,14.082683,0.03564294,7.954367545249091
116,tr,Min-DL-Loc,14.156015,0.035388365,7.897474774068578
117,tr,Random-1,14.22327,0.035760157,7.980525556661014
118,tr,Random-2,14.036555,0.03569404,7.965051440998762
119,tr,Random-3,14.208727,0.035662327,7.95797418641164
120,tr,Random-4,14.175885,0.03551094,7.924749253576016
121,tr,Random-5,14.12002,0.035481427,7.917687025437478
122,tr,Real,13.591176,0.03581212,7.991480675327939
123,tr,Reverse,13.510749,0.036149964,8.066952273662219
124,tr,Sort-Freq,13.258497,0.034771807,7.758945216594107
125,tr,Sort-Freq-Rev,13.732401,0.033250064,7.419310532916438
126,vi,Approx,13.723512,0.05547493,7.858273888182287
127,vi,Efficient-OV,14.144118,0.05687757,8.056562872916096
128,vi,Efficient-VO,13.848706,0.056266867,7.970653980669828
129,vi,Min-DL-Opt,13.603038,0.05508881,7.803189966601729
130,vi,Min-DL-Loc,14.21796,0.056512248,8.00541349817774
131,vi,Random-1,14.185989,0.056419753,7.991514549262832
132,vi,Random-2,14.083102,0.05638496,7.986387736106433
133,vi,Random-3,14.231136,0.056812745,8.047580624006677
134,vi,Random-4,14.106728,0.05702511,8.07786336246888
135,vi,Random-5,13.971026,0.056233905,7.965588092196894
136,vi,Real,13.372746,0.05675208,8.037785968717087
137,vi,Reverse,13.637381,0.05650656,8.004010845458312
138,vi,Sort-Freq,12.833688,0.057022013,8.077021846447643
139,vi,Sort-Freq-Rev,12.920083,0.05373004,7.609774910217503
