,language,variant,delta_surpmean,delta_surpsem,delta_surpstd
101,ru,Min-DL-Opt,4.628974,0.011715191,2.459157910216359
102,ru,Min-DL-Loc,5.138965,0.011530169,2.420319502254298
103,ru,Random-1,5.272945,0.011670189,2.449711344096603
104,ru,Random-2,5.274596,0.0117756445,2.4718476598640766
105,ru,Random-3,4.727933,0.011829521,2.483156795394972
106,ru,Random-4,5.181933,0.011766466,2.4699210613182427
107,ru,Random-5,4.7654076,0.011784057,2.473613839034249
108,ru,Real,4.7751846,0.011724608,2.461134927240263
109,ru,Reverse,4.9839144,0.012031872,2.5256329773696597
110,ru,Sort-Freq,3.9728286,0.01203535,2.5263629712003213
111,ru,Sort-Freq-Rev,3.810457,0.010101947,2.12051879524111
112,tr,Approx,4.4504,0.010822356,2.4151800949437923
113,tr,Efficient-OV,4.5370502,0.010931683,2.439578251189809
114,tr,Efficient-VO,4.3946743,0.01094021,2.4414322647406035
115,tr,Min-DL-Opt,4.50019,0.010839621,2.419057768439545
116,tr,Min-DL-Loc,4.368287,0.01062841,2.371874251548284
117,tr,Random-1,4.5391307,0.011035729,2.462798145589773
118,tr,Random-2,4.4831476,0.01091707,2.4361218575378407
119,tr,Random-3,4.45644,0.01090883,2.4342586363750853
120,tr,Random-4,4.466327,0.010836449,2.4183012573660148
121,tr,Random-5,4.379611,0.010922899,2.4374222996457946
122,tr,Real,4.4328065,0.010903597,2.4331396727088723
123,tr,Reverse,4.346138,0.011310519,2.5239441118815487
124,tr,Sort-Freq,3.6650496,0.010623308,2.370450446513477
125,tr,Sort-Freq-Rev,3.5025918,0.008905901,1.9872335275576696
126,vi,Approx,3.932285,0.015111189,2.1404615820087423
127,vi,Efficient-OV,3.9784546,0.015753303,2.231414984278482
128,vi,Efficient-VO,3.919259,0.0151521005,2.146309899819937
129,vi,Min-DL-Opt,3.8512099,0.014776144,2.092898841378118
130,vi,Min-DL-Loc,3.9518845,0.01556419,2.204682892279336
131,vi,Random-1,3.8546324,0.015949806,2.259193100218177
132,vi,Random-2,3.7900043,0.015321721,2.1701746232647667
133,vi,Random-3,3.796988,0.0153878005,2.1796969122053573
134,vi,Random-4,3.8723676,0.01602177,2.2694993699007315
135,vi,Random-5,3.7052472,0.01505864,2.1330178842334258
136,vi,Real,3.8862479,0.0151898805,2.151339830578051
137,vi,Reverse,4.091724,0.015753668,2.231188625180037
138,vi,Sort-Freq,2.9366534,0.015656484,2.217424445075625
139,vi,Sort-Freq-Rev,2.8129196,0.013239248,1.875071975110792
