,language,variant,surprisalmean,surprisalsem,surprisalstd
91,id,Random-3,59.10278,0.18092798,33.6053938332365
92,id,Random-4,59.886215,0.18375129,34.12978845630132
93,id,Random-5,59.257477,0.18271603,33.93750552486535
94,id,Real,53.529594,0.16770546,31.14900377609307
95,id,Reverse,54.68635,0.17040505,31.65087574238591
96,id,Sort-Freq,51.082424,0.14251168,26.469602437251478
97,id,Sort-Freq-Rev,51.530315,0.14427269,26.79629756208351
98,ru,Approx,49.203636,0.15536152,32.61222916929898
99,ru,Efficient-OV,49.46441,0.15667014,32.88692618333664
100,ru,Efficient-VO,49.25018,0.15598117,32.742302711806325
101,ru,Min-DL-Opt,49.30809,0.15666378,32.88559036964719
102,ru,Min-DL-Loc,52.243496,0.16307245,34.23084492273474
103,ru,Random-1,52.6461,0.1645054,34.53164012203465
104,ru,Random-2,51.51383,0.1614467,33.88958214106464
105,ru,Random-3,51.861454,0.16334862,34.28881602520414
106,ru,Random-4,52.448017,0.16475785,34.58462655560947
107,ru,Random-5,51.453968,0.1622728,34.062988410399974
108,ru,Real,46.986202,0.1498206,31.449125598478567
109,ru,Reverse,48.128643,0.15266861,32.046956743053734
110,ru,Sort-Freq,48.91718,0.14353645,30.130006440971904
111,ru,Sort-Freq-Rev,49.571583,0.1455402,30.550618108784143
112,tr,Approx,49.364677,0.1583876,35.34670646937089
113,tr,Efficient-OV,52.605736,0.16634274,37.12201850177713
114,tr,Efficient-VO,51.598843,0.16500661,36.82347014264368
115,tr,Min-DL-Opt,50.842327,0.16128573,35.99382758894913
116,tr,Min-DL-Loc,53.162178,0.16730961,37.33779116172715
117,tr,Random-1,52.52626,0.16671059,37.20448430248064
118,tr,Random-2,50.31811,0.16047941,35.81065043238639
119,tr,Random-3,52.8723,0.16755754,37.39011768881697
120,tr,Random-4,52.421104,0.16599628,37.044331958479965
121,tr,Random-5,52.716503,0.16692393,37.24910480123902
122,tr,Real,45.67318,0.1482964,33.092369712988024
123,tr,Reverse,45.75658,0.15000294,33.47351623328853
124,tr,Sort-Freq,46.388626,0.13976976,31.18808106577156
125,tr,Sort-Freq-Rev,46.668995,0.14060457,31.374041945814763
126,vi,Approx,59.80729,0.26066446,36.92429791214993
127,vi,Efficient-OV,63.70999,0.27503186,38.95756123092032
128,vi,Efficient-VO,61.018482,0.26586977,37.66258867937323
129,vi,Min-DL-Opt,59.654972,0.25992998,36.8184179883384
130,vi,Min-DL-Loc,66.54188,0.2811448,39.82641942588731
131,vi,Random-1,67.11308,0.28522295,40.400095372164806
132,vi,Random-2,66.50674,0.28266743,40.03712572594208
133,vi,Random-3,67.33164,0.285102,40.38497779470311
134,vi,Random-4,65.45584,0.27972513,39.62432728952191
135,vi,Random-5,66.21416,0.2828001,40.0589155366169
136,vi,Real,53.34657,0.23982337,33.966136850078506
137,vi,Reverse,54.39598,0.24134582,34.18602008855993
138,vi,Sort-Freq,50.734367,0.2045456,28.973362923275783
139,vi,Sort-Freq-Rev,50.900005,0.20252535,28.683624803005863
