,language,variant,sentence_len,sentence_pos,delta_surpmean,delta_surpsem,delta_surpstd
87,de,Approx,16,12,4.8142576,0.11103484,4.685880573018787
88,de,Approx,16,13,4.9505305,0.1169363,4.934933729362033
89,de,Approx,16,14,5.1390934,0.12840559,5.41895887981436
90,de,Approx,16,15,4.708399,0.13011017,5.490896209349023
91,de,Approx,17,0,2.918255,0.080210306,3.2630906031476097
92,de,Approx,17,1,3.718639,0.09841607,4.122916661098595
93,de,Approx,17,2,4.312211,0.10347268,4.334752258138886
94,de,Approx,17,3,4.259638,0.09754353,4.086363758478613
95,de,Approx,17,4,4.501976,0.10591446,4.437044759145192
96,de,Approx,17,5,4.527988,0.111990064,4.691568744927743
97,de,Approx,17,6,4.6518135,0.10490062,4.394572119525699
98,de,Approx,17,7,4.697548,0.108523615,4.546349433894523
99,de,Approx,17,8,4.6567516,0.10909467,4.57027256701232
100,de,Approx,17,9,4.7828717,0.11507784,4.820923568677175
101,de,Approx,17,10,4.6771193,0.115067475,4.82048934810274
102,de,Approx,17,11,4.748577,0.11876494,4.975386008190522
103,de,Approx,17,12,4.7517266,0.11329997,4.7464443500799405
104,de,Approx,17,13,4.9816556,0.11975991,5.017068489154712
105,de,Approx,17,14,5.0617766,0.11555059,4.840728947619236
106,de,Approx,17,15,5.039588,0.11857781,4.967546645523069
107,de,Approx,17,16,4.598182,0.1166215,4.885591935406855
108,de,Approx,18,0,2.968656,0.077297434,3.0656982767398104
109,de,Approx,18,1,3.9324365,0.104340695,4.258839466163906
110,de,Approx,18,2,4.6193867,0.11632379,4.747949145723859
111,de,Approx,18,3,4.4791417,0.115333706,4.707537266145405
112,de,Approx,18,4,4.4830356,0.10742514,4.384735564216355
113,de,Approx,18,5,4.574041,0.115334794,4.707581565420127
114,de,Approx,18,6,4.4930997,0.11200839,4.571808993565719
115,de,Approx,18,7,4.6335483,0.1110578,4.533008999541236
116,de,Approx,18,8,4.7728877,0.11732673,4.788885557396596
117,de,Approx,18,9,4.6425295,0.11751575,4.79660066991935
118,de,Approx,18,10,4.4465814,0.109617665,4.474227655558762
119,de,Approx,18,11,4.6371036,0.11613137,4.74009540209229
120,de,Approx,18,12,4.7285695,0.11554802,4.716284773957135
121,de,Approx,18,13,4.7598524,0.10973539,4.479032467419785
122,de,Approx,18,14,4.7437053,0.11269652,4.599895737339908
123,de,Approx,18,15,4.7831407,0.11442611,4.670491870837999
124,de,Approx,18,16,4.794318,0.122145936,4.985589883980519
125,de,Approx,18,17,4.649269,0.12317935,5.02777008651102
126,de,Approx,19,0,2.9996727,0.08336001,3.1884522108055733
127,de,Approx,19,1,3.8276289,0.10236629,4.0353617002435245
128,de,Approx,19,2,4.3897643,0.11367651,4.481219615960169
129,de,Approx,19,3,4.5383515,0.1242905,4.899631671140723
130,de,Approx,19,4,4.449878,0.12470274,4.915882847100315
131,de,Approx,19,5,4.3496995,0.11834573,4.665284479501775
132,de,Approx,19,6,4.5310755,0.11791754,4.648404368477046
133,de,Approx,19,7,4.6206474,0.12492538,4.924659045679773
134,de,Approx,19,8,4.7362165,0.12437133,4.902818444722372
135,de,Approx,19,9,4.3797784,0.1098747,4.331349350123438
136,de,Approx,19,10,4.448572,0.116466135,4.59118905338694
137,de,Approx,19,11,4.6499453,0.118867256,4.685842844086238
138,de,Approx,19,12,4.8456416,0.12928571,5.096546824341528
139,de,Approx,19,13,4.690456,0.124282524,4.899317460870298
140,de,Approx,19,14,4.7261157,0.12843278,5.062923734034149
141,de,Approx,19,15,4.745573,0.12977599,5.115874147363507
142,de,Approx,19,16,5.09858,0.12907027,5.088054326022496
143,de,Approx,19,17,4.8337216,0.12156707,4.79227183235956
144,de,Approx,19,18,4.6391916,0.12712607,5.011411922569236
145,de,Approx,20,0,3.094562,0.097099006,3.4123082819936106
146,de,Approx,20,1,3.8474238,0.11506562,4.210520856365688
147,de,Approx,20,2,4.418623,0.1226706,4.488805439470774
148,de,Approx,20,3,4.489623,0.12293277,4.498398511858366
149,de,Approx,20,4,4.5077095,0.12303625,4.502185572412166
150,de,Approx,20,5,4.5650105,0.13592912,4.97396604040683
151,de,Approx,20,6,4.6665373,0.13702317,5.013999634259829
152,de,Approx,20,7,4.56019,0.12717949,4.6537960347666205
153,de,Approx,20,8,4.7703123,0.13322026,4.874842047728662
154,de,Approx,20,9,4.879925,0.12746538,4.664258032868927
155,de,Approx,20,10,4.6936464,0.12488198,4.569725371524275
156,de,Approx,20,11,4.68615,0.13574596,4.967263729933085
157,de,Approx,20,12,4.7824593,0.13768452,5.038200370462495
158,de,Approx,20,13,4.6364064,0.13017052,4.763244917367387
159,de,Approx,20,14,4.741176,0.13065688,4.781042089793315
160,de,Approx,20,15,4.769029,0.13154963,4.813709641683007
161,de,Approx,20,16,4.78697,0.13451117,4.922080138315573
162,de,Approx,20,17,5.132899,0.14523071,5.314333016811048
163,de,Approx,20,18,4.979578,0.1358826,4.97226378801092
164,de,Approx,20,19,4.707797,0.13208827,4.833420076682993
165,de,Efficient-OV,10,0,7.0011077,0.1250305,5.182359535350291
166,de,Efficient-OV,10,1,5.904064,0.113309555,4.890721725305454
167,de,Efficient-OV,10,2,5.0328465,0.10686949,4.612752237391956
168,de,Efficient-OV,10,3,5.5568585,0.11806571,5.096009438022636
169,de,Efficient-OV,10,4,5.5866623,0.11727151,5.061729988774321
170,de,Efficient-OV,10,5,5.33177,0.11592286,5.003518530561573
171,de,Efficient-OV,10,6,5.1092105,0.11035556,4.763220401964372
172,de,Efficient-OV,10,7,4.9664326,0.111381084,4.807483890066877
173,de,Efficient-OV,10,8,4.936423,0.11862276,5.120052743467675
174,de,Efficient-OV,10,9,2.5562696,0.09307522,4.017357976200186
175,de,Efficient-OV,11,0,7.025143,0.12420427,5.246068211494943
176,de,Efficient-OV,11,1,6.1420317,0.11951918,5.22751281424557
177,de,Efficient-OV,11,2,5.556503,0.123733975,5.411858709540796
178,de,Efficient-OV,11,3,5.7715015,0.12615725,5.51784767962732
179,de,Efficient-OV,11,4,5.6473556,0.11775723,5.150448995177602
180,de,Efficient-OV,11,5,5.587206,0.11794501,5.1586621917035504
181,de,Efficient-OV,11,6,5.5460525,0.11904434,5.206743977534386
182,de,Efficient-OV,11,7,4.97037,0.107248336,4.690812168362177
183,de,Efficient-OV,11,8,4.867547,0.107256524,4.691170576166451
184,de,Efficient-OV,11,9,5.0077877,0.11966222,5.233769082183052
185,de,Efficient-OV,11,10,2.5436535,0.10063477,4.40154893307522
186,de,Efficient-OV,12,0,6.978677,0.129409,5.575110367917827
187,de,Efficient-OV,12,1,5.9361753,0.11664437,5.226917004243886
188,de,Efficient-OV,12,2,5.288093,0.11340335,5.0816853952809895
189,de,Efficient-OV,12,3,5.704888,0.12122163,5.432027596180103
190,de,Efficient-OV,12,4,5.872246,0.12473087,5.589279259004912
191,de,Efficient-OV,12,5,5.771785,0.12106814,5.425149730796655
192,de,Efficient-OV,12,6,5.2023597,0.10783086,4.831977639647574
193,de,Efficient-OV,12,7,5.2971025,0.10667203,4.780049940125978
194,de,Efficient-OV,12,8,4.963897,0.111456685,4.994453163285701
195,de,Efficient-OV,12,9,5.01966,0.11049015,4.951142225709737
196,de,Efficient-OV,12,10,4.812733,0.110604785,4.956279303577167
197,de,Efficient-OV,12,11,2.429168,0.08595006,3.85148347093938
198,de,Efficient-OV,13,0,7.008477,0.11865779,5.091235225883953
199,de,Efficient-OV,13,1,6.0059385,0.115690194,5.18286869563691
200,de,Efficient-OV,13,2,5.3062873,0.11485595,5.145495358576194
201,de,Efficient-OV,13,3,5.538664,0.11641548,5.215361618699783
202,de,Efficient-OV,13,4,5.532249,0.10946951,4.904184937031003
203,de,Efficient-OV,13,5,5.423369,0.107058406,4.796168440033537
204,de,Efficient-OV,13,6,5.307516,0.11114103,4.979068690889306
205,de,Efficient-OV,13,7,5.4965105,0.11328751,5.075229106920425
206,de,Efficient-OV,13,8,5.4210224,0.11607476,5.200097509847132
207,de,Efficient-OV,13,9,5.050961,0.11055582,4.952851206715882
208,de,Efficient-OV,13,10,4.926104,0.1107859,4.9631591672228135
209,de,Efficient-OV,13,11,4.967473,0.11643556,5.21626105084768
210,de,Efficient-OV,13,12,2.4517698,0.08805625,3.944880711438236
211,de,Efficient-OV,14,0,6.9596353,0.116339736,4.955034781140954
212,de,Efficient-OV,14,1,5.913218,0.110933214,4.929979891948784
213,de,Efficient-OV,14,2,5.110938,0.106713556,4.742454105623994
214,de,Efficient-OV,14,3,5.6324654,0.115926996,5.151908450782124
215,de,Efficient-OV,14,4,5.6510296,0.11534726,5.126144431277564
216,de,Efficient-OV,14,5,5.522251,0.1118034,4.968651650288844
217,de,Efficient-OV,14,6,5.5302672,0.113103844,5.026444920197516
218,de,Efficient-OV,14,7,5.440338,0.10972278,4.8761866630017945
219,de,Efficient-OV,14,8,5.145086,0.109891504,4.883685015426523
220,de,Efficient-OV,14,9,5.067172,0.106284015,4.7233647854967495
221,de,Efficient-OV,14,10,4.722969,0.096963994,4.309174125305791
222,de,Efficient-OV,14,11,4.814877,0.10686981,4.749398145220474
223,de,Efficient-OV,14,12,4.7619767,0.11324463,5.032701253018583
224,de,Efficient-OV,14,13,2.5298338,0.09284824,4.126265859435375
225,de,Efficient-OV,15,0,6.956783,0.12366412,5.240791534759803
226,de,Efficient-OV,15,1,6.0985713,0.120562434,5.297892273582642
227,de,Efficient-OV,15,2,5.3439674,0.11848451,5.2065819895809335
228,de,Efficient-OV,15,3,5.675454,0.115640186,5.081593601080104
229,de,Efficient-OV,15,4,5.6983747,0.11301125,4.966069822155835
230,de,Efficient-OV,15,5,5.8486185,0.11492362,5.050105036699902
231,de,Efficient-OV,15,6,5.563899,0.11566296,5.082594168933331
232,de,Efficient-OV,15,7,5.8164806,0.12263716,5.389062626749339
233,de,Efficient-OV,15,8,5.675596,0.12002708,5.274367147372839
234,de,Efficient-OV,15,9,5.355567,0.10979499,4.824736902509177
235,de,Efficient-OV,15,10,5.145889,0.11158071,4.903207222488456
236,de,Efficient-OV,15,11,4.890568,0.10449007,4.59162244205179
237,de,Efficient-OV,15,12,4.8281765,0.109137915,4.795863095694893
238,de,Efficient-OV,15,13,4.892729,0.1167824,5.13178588629992
239,de,Efficient-OV,15,14,2.512953,0.09331894,4.100727526102748
240,de,Efficient-OV,16,0,7.131753,0.12940773,5.256566977951148
241,de,Efficient-OV,16,1,6.0940766,0.1234164,5.208405747584643
