,language,variant,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,73.749725,0.2448099,47.06466255388359
1,de,Efficient-OV,76.273735,0.2493126,47.9303049394793
2,de,Efficient-VO,75.38314,0.2492345,47.9152950676864
3,de,Min-DL-Opt,74.56104,0.24759303,47.59972071805797
4,de,Min-DL-Loc,79.189606,0.25819835,49.63859145364759
5,de,Random-1,77.91314,0.25525662,49.07304538058079
6,de,Random-2,76.86162,0.25238153,48.51899857668355
7,de,Random-3,77.892006,0.25564107,49.146959808862505
8,de,Random-4,77.735535,0.2551159,49.0459876320718
9,de,Random-5,77.03096,0.2554895,49.11781298394088
10,de,Real,70.94458,0.23595415,45.36214700938609
11,de,Reverse,72.416115,0.23898542,45.94490669728515
12,de,Sort-Freq,72.61706,0.21500492,41.332984200639466
13,de,Sort-Freq-Rev,72.62056,0.21586329,41.49799809798808
14,en,Approx,81.57096,0.29563463,48.05949692833941
15,en,Efficient-OV,85.36606,0.30599615,49.74296695348689
16,en,Efficient-VO,83.03718,0.30053505,48.85520630068629
17,en,Min-DL-Opt,83.60183,0.30217367,49.121582402272736
18,en,Min-DL-Loc,88.79355,0.31498945,51.20492909884747
19,en,Random-1,88.8511,0.3163088,51.42036662914438
20,en,Random-2,87.47578,0.3113294,50.61089821170603
21,en,Random-3,88.568016,0.31575248,51.3289642860051
22,en,Random-4,88.81758,0.3166099,51.46834071125405
23,en,Random-5,88.44898,0.31651407,51.45374506126342
24,en,Real,77.1164,0.28268585,45.95449778542137
25,en,Reverse,77.99082,0.28479585,46.29663355852007
26,en,Sort-Freq,73.71669,0.23390004,38.02296920704527
27,en,Sort-Freq-Rev,74.078606,0.23606852,38.37548037546145
28,fa,Approx,87.391655,0.36586234,60.50128505809862
29,fa,Efficient-OV,88.7666,0.37074474,61.3120318868372
30,fa,Efficient-VO,89.36953,0.37056598,61.28247285549485
31,fa,Min-DL-Opt,90.97091,0.37992793,62.829558071467794
32,fa,Min-DL-Loc,94.47277,0.39003217,64.50287890891978
33,fa,Random-1,93.01282,0.38602632,63.83456485230816
34,fa,Random-2,92.49454,0.38352117,63.416827444793945
35,fa,Random-3,93.240654,0.38455096,63.587104501576526
36,fa,Random-4,92.49628,0.38357934,63.42992232379063
37,fa,Random-5,93.44036,0.38815552,64.18430194946058
38,fa,Real,82.540855,0.34658897,57.30888579835886
39,fa,Reverse,84.00075,0.3532855,58.42470510588268
40,fa,Sort-Freq,78.89637,0.28551257,47.23486196925606
41,fa,Sort-Freq-Rev,79.48561,0.28762,47.580031287692336
42,fr,Approx,80.45696,0.32021585,50.8992139398814
43,fr,Efficient-OV,84.53208,0.33203343,52.77765215435569
44,fr,Efficient-VO,83.023315,0.3264165,51.88481927879676
45,fr,Min-DL-Opt,81.622795,0.32346565,51.41577569591496
46,fr,Min-DL-Loc,88.320206,0.342427,54.429739660951775
47,fr,Random-1,88.97286,0.34823918,55.35360079322815
48,fr,Random-2,87.06696,0.34067473,54.15121202984302
49,fr,Random-3,88.384796,0.34765464,55.26069065058482
50,fr,Random-4,88.85658,0.34674093,55.115449462862976
51,fr,Random-5,88.27518,0.34802228,55.31912230184253
52,fr,Real,74.836,0.30118954,47.8749265662178
53,fr,Reverse,76.81428,0.3059739,48.63541762279645
