,language,variant,surprisalmean,surprisalsem,surprisalstd
88,id,Min-DL-Loc,5.5864315,0.0057569547,4.594952273032567
89,id,Random-1,5.60899,0.0058738957,4.6882885466820765
90,id,Random-2,5.546195,0.005858292,4.675834936693465
91,id,Random-3,5.5353155,0.005744258,4.5848175056335725
92,id,Random-4,5.594784,0.0058534793,4.671993149256126
93,id,Random-5,5.559016,0.0057306304,4.573941053465266
94,id,Real,4.9512615,0.0057159998,4.562262870894514
95,id,Reverse,5.0334015,0.005919879,4.724990161397032
96,id,Sort-Freq,4.7246137,0.005327478,4.2521624531618505
97,id,Sort-Freq-Rev,4.721953,0.005544484,4.425366559786969
98,ru,Approx,5.4154143,0.00620954,5.043014123433112
99,ru,Efficient-OV,5.4453864,0.0062477444,5.074041243007447
100,ru,Efficient-VO,5.4196715,0.006240911,5.068491799279054
101,ru,Min-DL-Opt,5.4574847,0.0061168475,4.967735180215302
102,ru,Min-DL-Loc,5.7816935,0.0063111647,5.125547543824387
103,ru,Random-1,5.783463,0.0065464745,5.316653006828468
104,ru,Random-2,5.641354,0.006544637,5.315160486668174
105,ru,Random-3,5.7546606,0.0062653245,5.088319280090031
106,ru,Random-4,5.764154,0.0065398165,5.311244099319654
107,ru,Random-5,5.7124357,0.0062189563,5.050661445361571
108,ru,Real,5.1482186,0.0061198156,4.97014552521011
109,ru,Reverse,5.242504,0.00637843,5.1801766638257725
110,ru,Sort-Freq,5.4136767,0.005853063,4.753504970362381
111,ru,Sort-Freq-Rev,5.4050517,0.0062308246,5.060300351697626
112,tr,Approx,5.755028,0.006003256,5.048538400567753
113,tr,Efficient-OV,6.18966,0.0059846225,5.032869206339493
114,tr,Efficient-VO,6.0854373,0.0058928444,4.955686076918211
115,tr,Min-DL-Opt,5.952675,0.0059961034,5.042523741472535
116,tr,Min-DL-Loc,6.283036,0.0058841705,4.94839213039565
117,tr,Random-1,6.1763625,0.0060264864,5.068074834835047
118,tr,Random-2,5.879088,0.006008632,5.053059264220583
119,tr,Random-3,6.2293553,0.0059779133,5.027226366989603
120,tr,Random-4,6.1682906,0.0059827543,5.031297471744727
121,tr,Random-5,6.2236195,0.0059011355,4.962658543231822
122,tr,Real,5.2630196,0.0059786304,5.027829121030491
123,tr,Reverse,5.302881,0.0059081395,4.968548626288615
124,tr,Sort-Freq,5.41299,0.005543681,4.6620510562579325
125,tr,Sort-Freq-Rev,5.394788,0.005775159,4.85671657588805
126,vi,Approx,4.326117,0.0058461437,4.139738946139243
127,vi,Efficient-OV,4.6462674,0.005950556,4.213670235897308
128,vi,Efficient-VO,4.4308066,0.005865923,4.15374463824528
129,vi,Min-DL-Opt,4.32426,0.0057783853,4.091758031433359
130,vi,Min-DL-Loc,4.894433,0.00584952,4.142128856007332
131,vi,Random-1,4.9490376,0.005827219,4.126333766038754
132,vi,Random-2,4.90214,0.00579871,4.106146058043079
133,vi,Random-3,4.969324,0.0058030486,4.109218298354997
134,vi,Random-4,4.809296,0.005851761,4.143712232875782
135,vi,Random-5,4.900446,0.00566916,4.0144093956285785
136,vi,Real,3.781986,0.0058239703,4.1240325009685534
137,vi,Reverse,3.8440971,0.0059559233,4.217475156460939
138,vi,Sort-Freq,3.658234,0.005210884,3.689902061217374
139,vi,Sort-Freq-Rev,3.6355462,0.0053082895,3.758872216178563
