,Unnamed: 0.1,Unnamed: 0,surprisal_mean,surprisal_sem,surprisal_std,surprisal_var_mean,surprisal_var_sem,surprisal_var_std,surprisal_var_doc_initial_mean,surprisal_var_doc_initial_sem,surprisal_var_doc_initial_std,surp_diff_squared_mean,surp_diff_squared_sem,surp_diff_squared_std,delta_surp_mean,delta_surp_sem,delta_surp_std,uidp_1_1_mean,uidp_1_1_sem,uidp_1_1_std,uidp_1_25_mean,uidp_1_25_sem,uidp_1_25_std,max_surp_mean,max_surp_sem,max_surp_std,language,variant,num_toks,model_seed,dataset
0,0,0,5.46846342086792,0.0062970100718555,4.694881439208984,21.68254470825196,0.16175652497308,26.29471778869629,34.205677032470696,0.938036040271208,43.38349151611328,22.901189425364947,0.1806881675972697,29.37224970210389,4.629595756530762,0.0116737535855423,1.897656202316284,88.81771087646484,0.3166098786758842,51.46731567382813,65.65870666503906,0.2113526029433538,34.35692596435547,15.811726570129396,0.0453481404473821,7.371683597564697,en,Random_4,20000000,none,wiki40b
1,1,1,6.299572467803955,0.0065335401132818,5.344860076904297,25.71988677978516,0.1388724931914615,29.71869468688965,28.101247787475582,0.5673121355339805,37.34791564941406,28.925205192141583,0.1398450564816817,29.92684208708,5.004852771759033,0.0111425266158185,2.3845078945159908,72.84070587158203,0.2399538705490757,51.350074768066406,55.47650909423828,0.1668104516055132,35.69741439819336,15.88967990875244,0.0375584797740336,8.037492752075195,hu,Random_3,20000000,none,wiki40b
2,2,2,5.39411735534668,0.0057751592307447,4.85585355758667,20.72338485717773,0.1217357678390078,27.16332817077637,31.77889060974121,0.5479630509821337,37.0594367980957,24.59640296398936,0.1323556497357414,29.533110216279827,3.5025761127471924,0.0089059005437783,1.9872090816497805,60.91313171386719,0.2007615495080831,44.79660034179687,46.6690902709961,0.1406045638369716,31.37362670898437,13.732391357421877,0.0332500641658559,7.419201374053955,tr,Sort_Freq_Rev,20000000,none,wiki40b
3,3,3,5.315221309661865,0.0063421960165721,5.17529821395874,25.16567611694336,0.1313827891331881,25.25793647766113,42.22577667236328,0.7059925494105899,36.8741569519043,26.782092827438355,0.1377216915230254,26.476614622222627,5.025285720825195,0.0107667106218171,2.0698692798614498,75.38317108154297,0.2492344933435404,47.91455841064453,57.0792465209961,0.1712328271443991,32.9189453125,16.417488098144528,0.0402702652188737,7.741822719573975,de,Efficient_VO,20000000,none,wiki40b
4,4,4,4.950935363769531,0.005715999669718,4.561697483062744,20.76030540466309,0.2335181096138613,43.37197494506836,28.822439193725582,0.9239062564629624,57.37158203125,22.268840541203016,0.2372662245913237,44.06832910564923,4.293354511260986,0.0122493871719408,2.275120258331299,71.37185668945312,0.2468463150746975,45.8476676940918,53.529579162597656,0.1677054612117067,31.14849090576172,14.6654691696167,0.0416070907377614,7.727840900421143,id,Real,20000000,none,wiki40b
5,5,5,5.141021728515625,0.0061743244339891,4.6031904220581055,20.691272735595703,0.1770950165376555,28.78818130493164,33.96735382080078,1.127238456753172,52.13405227661133,22.017022039651664,0.1916126651341868,31.14811069948556,4.602618217468262,0.0117748734792927,1.9140884876251216,83.60176849365234,0.3021736775480154,49.12061309814453,61.91926956176758,0.2031860537577996,33.02936553955078,15.39335823059082,0.0457573543456202,7.43820333480835,en,Min_DL_Opt,20000000,none,wiki40b
6,6,6,6.149555206298827,0.0067093861046133,5.4889020919799805,27.26011276245117,0.1424144365833001,30.476726531982425,29.90576171875,0.5858271789501835,38.56683349609375,30.25755849595913,0.143882610334442,30.79087861157051,5.367988586425781,0.0114334297576402,2.446750402450561,71.43277740478516,0.2360617988131297,50.5172233581543,54.69601821899414,0.1647619815389141,35.25918197631836,15.944591522216797,0.0375928740638185,8.044858932495117,hu,Random_2,20000000,none,wiki40b
7,7,7,4.721672534942627,0.0055444842942598,4.424644470214844,20.29487037658692,0.2330090578133234,43.27691650390625,28.551652908325195,0.9000176360839917,55.88798904418945,21.45092457826768,0.2417622020728793,44.90273271488589,3.3422203063964844,0.0108393094717537,2.01318883895874,68.35421752929689,0.2109790784890436,39.18535614013672,51.5301284790039,0.1442726867266144,26.79584884643555,14.529672622680664,0.0387301837409039,7.193380832672119,id,Sort_Freq_Rev,20000000,none,wiki40b
8,8,8,5.474696636199951,0.0060601787320505,4.518223762512207,20.23587989807129,0.1770399646302807,28.779186248779297,33.679977416992195,1.0727625771207336,49.61452102661133,21.447574842357604,0.1856188408415493,30.17376851573896,4.182881832122804,0.0115076621452566,1.870659589767456,88.56846618652344,0.315752467511494,51.32793807983398,65.17613983154297,0.2103135157913695,34.188034057617195,15.648651123046877,0.0454382275200214,7.386322021484375,en,Random_3,20000000,none,wiki40b
9,9,9,5.545847415924072,0.0058582920971646,4.67539644241333,21.98221206665039,0.2455847887995679,45.61393356323242,29.52478408813477,0.8752933476423649,54.35287857055664,23.39020764147211,0.2442039870924726,45.35756266693095,4.555586814880371,0.0126002286598888,2.340319871902466,79.62767791748047,0.2707957230346361,50.29658126831055,59.39885330200195,0.1818051485667721,33.767765045166016,15.326022148132324,0.0412571271313079,7.662936687469482,id,Random_2,20000000,none,wiki40b
